PDT_LABEL,ITEM_SUP_LINK,PDT_SUP_REF,PDT_SUMMARY,PDT_KEYWORD,PDT_DESCRIPTION,PDT_IMG_FILE,PDT_IMG_URL,PDT_UNSPSC,PDT_FILE,ITEM_LABEL,ITEM_SUP_REF,PDT_SUP_URL,ITEM_CTR_REF,ITEM_VALIDITY_BEGIN_DATE,ITEM_VALIDITY_END_DATE,ITEM_COMMENT,ITEM_PUBLIC_PRICE,ITEM_UNIT_CURRENCY,ITEM_VAT_VALUE,ITEM_QTY_NEG_A,ITEM_PRICE_A,ITEM_QTY_NEG_B,ITEM_PRICE_B,ITEM_QTY_NEG_C,ITEM_PRICE_C,ITEM_QTY_NEG_D,ITEM_PRICE_D,ITEM_QTY_NEG_E,ITEM_PRICE_E,ITEM_UNIT,ITEM_OTHER_UNIT,ITEM_PACKAGING,ITEM_DELIVERY_TIME,ITEM_SHIP_CODE,ITEM_INCOTERM,ITEM_INCOPLACE,fam_node,Product_type
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hssco5/#230020E,230020E,"HGB-Set0-DIN352-HSS E-Co 5-60°-M 2x0,40",,"HGB-Set0-DIN352-HSS E-Co 5-60°-M 2x0,40",,,,,"HGB-Set0-DIN352-HSS E-Co 5-60°-M 2x0,40","HGB-Set0-DIN352-HSS E-Co 5-60°-M 2x0,40",,,18.02.2026,,"HGB-Set0-DIN352-HSS E-Co 5-60°-M 2x0,40",22.848,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hssco5/#230020E,230020E-1,"HGB-DIN352-HSS E-Co 5-60°-M 2x0,40 mm",,"HGB-DIN352-HSS E-Co 5-60°-M 2x0,40 mm",,,,,"HGB-DIN352-HSS E-Co 5-60°-M 2x0,40 mm","HGB-DIN352-HSS E-Co 5-60°-M 2x0,40 mm",,,18.02.2026,,"HGB-DIN352-HSS E-Co 5-60°-M 2x0,40 mm",6.6385,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hssco5/#230020E,230020E-2,"HGB-DIN352-HSS E-Co 5-60°-x0,40 mm",,"HGB-DIN352-HSS E-Co 5-60°-x0,40 mm",,,,,"HGB-DIN352-HSS E-Co 5-60°-x0,40 mm","HGB-DIN352-HSS E-Co 5-60°-x0,40 mm",,,18.02.2026,,"HGB-DIN352-HSS E-Co 5-60°-x0,40 mm",6.6385,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hssco5/#230020E,230020E-3,"HGB-DIN352-HSS E-Co 5-60°-M 2x0,40 mm",,"HGB-DIN352-HSS E-Co 5-60°-M 2x0,40 mm",,,,,"HGB-DIN352-HSS E-Co 5-60°-M 2x0,40 mm","HGB-DIN352-HSS E-Co 5-60°-M 2x0,40 mm",,,18.02.2026,,"HGB-DIN352-HSS E-Co 5-60°-M 2x0,40 mm",6.6385,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss/#230025,230025,"HGB-DIN352HSS M2,5x0,45mm",,"HGB-DIN352HSS M2,5x0,45mm",,,,,"HGB-DIN352HSS M2,5x0,45mm","HGB-DIN352HSS M2,5x0,45mm",,,18.02.2026,,"HGB-DIN352HSS M2,5x0,45mm",16.966,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss/#230025,230025-1,"HGB-DIN352-HSS-60°-M 2,5x0,45 mm",,"HGB-DIN352-HSS-60°-M 2,5x0,45 mm",,,,,"HGB-DIN352-HSS-60°-M 2,5x0,45 mm","HGB-DIN352-HSS-60°-M 2,5x0,45 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 2,5x0,45 mm",11.169,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss/#230025,230025-2,"HGB-DIN352-HSS-60°-M 2,5x0,45 mm",,"HGB-DIN352-HSS-60°-M 2,5x0,45 mm",,,,,"HGB-DIN352-HSS-60°-M 2,5x0,45 mm","HGB-DIN352-HSS-60°-M 2,5x0,45 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 2,5x0,45 mm",11.169,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss/#230025,230025-3,"HGB-DIN352-HSS-60°-M 2,5x0,45 mm",,"HGB-DIN352-HSS-60°-M 2,5x0,45 mm",,,,,"HGB-DIN352-HSS-60°-M 2,5x0,45 mm","HGB-DIN352-HSS-60°-M 2,5x0,45 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 2,5x0,45 mm",11.169,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss/#230030,230030-1,"HGB-DIN352-HSS-60°-M 3x0,50 mm",,"HGB-DIN352-HSS-60°-M 3x0,50 mm",,,,,"HGB-DIN352-HSS-60°-M 3x0,50 mm","HGB-DIN352-HSS-60°-M 3x0,50 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 3x0,50 mm",5.729,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss/#230030,230030-2,"HGB-DIN352-HSS-60°-M 3x0,50 mm",,"HGB-DIN352-HSS-60°-M 3x0,50 mm",,,,,"HGB-DIN352-HSS-60°-M 3x0,50 mm","HGB-DIN352-HSS-60°-M 3x0,50 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 3x0,50 mm",5.729,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss/#230030,230030-3,"HGB-DIN352-HSS-60°-M 3x0,50 mm",,"HGB-DIN352-HSS-60°-M 3x0,50 mm",,,,,"HGB-DIN352-HSS-60°-M 3x0,50 mm","HGB-DIN352-HSS-60°-M 3x0,50 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 3x0,50 mm",5.729,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hssco5/#230030E,230030E,"HGB-Set0-DIN352-HSS E-Co 5-60°-M 3x0,50",,"HGB-Set0-DIN352-HSS E-Co 5-60°-M 3x0,50",,,,,"HGB-Set0-DIN352-HSS E-Co 5-60°-M 3x0,50","HGB-Set0-DIN352-HSS E-Co 5-60°-M 3x0,50",,,18.02.2026,,"HGB-Set0-DIN352-HSS E-Co 5-60°-M 3x0,50",22.848,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hssco5/#230030E,230030E-1,"HGB-DIN352-HSS E-Co 5-60°-M 3x0,50 mm",,"HGB-DIN352-HSS E-Co 5-60°-M 3x0,50 mm",,,,,"HGB-DIN352-HSS E-Co 5-60°-M 3x0,50 mm","HGB-DIN352-HSS E-Co 5-60°-M 3x0,50 mm",,,18.02.2026,,"HGB-DIN352-HSS E-Co 5-60°-M 3x0,50 mm",7.6415,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hssco5/#230030E,230030E-2,"HGB-DIN352-HSS E-Co 5-60°-M 3x0,50 mm",,"HGB-DIN352-HSS E-Co 5-60°-M 3x0,50 mm",,,,,"HGB-DIN352-HSS E-Co 5-60°-M 3x0,50 mm","HGB-DIN352-HSS E-Co 5-60°-M 3x0,50 mm",,,18.02.2026,,"HGB-DIN352-HSS E-Co 5-60°-M 3x0,50 mm",7.6415,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hssco5/#230030E,230030E-3,"HGB-DIN352-HSS E-Co 5-60°-M 3x0,50 mm",,"HGB-DIN352-HSS E-Co 5-60°-M 3x0,50 mm",,,,,"HGB-DIN352-HSS E-Co 5-60°-M 3x0,50 mm","HGB-DIN352-HSS E-Co 5-60°-M 3x0,50 mm",,,18.02.2026,,"HGB-DIN352-HSS E-Co 5-60°-M 3x0,50 mm",7.6415,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss-left-hand-thread/#230030LI,230030LI,"HGB-Set0-DIN352-HSS-60°-M 3x0,50 mm",,"HGB-Set0-DIN352-HSS-60°-M 3x0,50 mm",,,,,"HGB-Set0-DIN352-HSS-60°-M 3x0,50 mm","HGB-Set0-DIN352-HSS-60°-M 3x0,50 mm",,,18.02.2026,,"HGB-Set0-DIN352-HSS-60°-M 3x0,50 mm",21.3945,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss-left-hand-thread/#230030LI,230030LI-1,"HGB-DIN352-HSS-60°-M 3x0,50 mm",,"HGB-DIN352-HSS-60°-M 3x0,50 mm",,,,,"HGB-DIN352-HSS-60°-M 3x0,50 mm","HGB-DIN352-HSS-60°-M 3x0,50 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 3x0,50 mm",7.097499999999999,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss-left-hand-thread/#230030LI,230030LI-2,"HGB-DIN352-HSS-60°-M 3x0,50 mm",,"HGB-DIN352-HSS-60°-M 3x0,50 mm",,,,,"HGB-DIN352-HSS-60°-M 3x0,50 mm","HGB-DIN352-HSS-60°-M 3x0,50 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 3x0,50 mm",7.097499999999999,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss-left-hand-thread/#230030LI,230030LI-3,"HGB-DIN352-HSS-60°-M 3x0,50 mm",,"HGB-DIN352-HSS-60°-M 3x0,50 mm",,,,,"HGB-DIN352-HSS-60°-M 3x0,50 mm","HGB-DIN352-HSS-60°-M 3x0,50 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 3x0,50 mm",7.097499999999999,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss/#230035,230035,"HGB-DIN352HSS M3,5x0,6mm",,"HGB-DIN352HSS M3,5x0,6mm",,,,,"HGB-DIN352HSS M3,5x0,6mm","HGB-DIN352HSS M3,5x0,6mm",,,18.02.2026,,"HGB-DIN352HSS M3,5x0,6mm",22.78,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss/#230035,230035-1,"HGB-DIN352-HSS-60°-M 3,5x0,60 mm",,"HGB-DIN352-HSS-60°-M 3,5x0,60 mm",,,,,"HGB-DIN352-HSS-60°-M 3,5x0,60 mm","HGB-DIN352-HSS-60°-M 3,5x0,60 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 3,5x0,60 mm",7.633,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss/#230035,230035-2,"HGB-DIN352-HSS-60°-M 3,5x0,60 mm",,"HGB-DIN352-HSS-60°-M 3,5x0,60 mm",,,,,"HGB-DIN352-HSS-60°-M 3,5x0,60 mm","HGB-DIN352-HSS-60°-M 3,5x0,60 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 3,5x0,60 mm",7.633,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://ruko.de/en/products/hand-taps/hand-tap-m-din352-hss/#230035,230035-3,"HGB-DIN352-HSS-60°-M 3,5x0,60 mm",,"HGB-DIN352-HSS-60°-M 3,5x0,60 mm",,,,,"HGB-DIN352-HSS-60°-M 3,5x0,60 mm","HGB-DIN352-HSS-60°-M 3,5x0,60 mm",,,18.02.2026,,"HGB-DIN352-HSS-60°-M 3,5x0,60 mm",7.633,EUR,,,,,,,,,,,,PCE,,1,9-18 zile,,,,,
