PDT_LABEL,ITEM_SUP_LINK,PDT_SUP_REF,PDT_SUMMARY,PDT_KEYWORD,PDT_DESCRIPTION,PDT_IMG_FILE,PDT_IMG_URL,PDT_UNSPSC,PDT_FILE,ITEM_LABEL,ITEM_SUP_REF,PDT_SUP_URL,ITEM_CTR_REF,ITEM_VALIDITY_BEGIN_DATE,ITEM_VALIDITY_END_DATE,ITEM_COMMENT,ITEM_PUBLIC_PRICE,ITEM_UNIT_CURRENCY,ITEM_VAT_VALUE,ITEM_QTY_NEG_A,ITEM_PRICE_A,ITEM_QTY_NEG_B,ITEM_PRICE_B,ITEM_QTY_NEG_C,ITEM_PRICE_C,ITEM_QTY_NEG_D,ITEM_PRICE_D,ITEM_QTY_NEG_E,ITEM_PRICE_E,ITEM_UNIT,ITEM_OTHER_UNIT,ITEM_PACKAGING,ITEM_DELIVERY_TIME,ITEM_SHIP_CODE,ITEM_INCOTERM,ITEM_INCOPLACE,fam_node,Product_type
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10008238-CUTIE-TIP-ORGANIZATOR-DOMINO-36.html?text=10008238,78794,CUTIE TIP ORGANIZATOR DOMINO 36,,CUTIE TIP ORGANIZATOR DOMINO 36,,,,,CUTIE TIP ORGANIZATOR DOMINO 36,CUTIE TIP ORGANIZATOR DOMINO 36,,,01.01.2026,,CUTIE TIP ORGANIZATOR DOMINO 36,39.134499999999996,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10000330-CUTIE-DEPOZITARE-P-4-23-5X17-3X12-5MM.html?text=10000330,78824,CUTIE SCULE DIVERSE,,CUTIE SCULE DIVERSE,,,,,"CUTIE DEPOZITARE P 4 23,5X17,3X12,5MM","CUTIE DEPOZITARE P 4 23,5X17,3X12,5MM",,,01.01.2026,,"CUTIE DEPOZITARE P 4 23,5X17,3X12,5MM",12.212999999999997,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10015686-SUPORT-MASINA-DE-GAURIT.html?text=10015686,79639,SUPORT MASINA DE GAURIT,,SUPORT MASINA DE GAURIT,,,,,SUPORT MASINA DE GAURIT,SUPORT MASINA DE GAURIT,,,01.01.2026,,SUPORT MASINA DE GAURIT,94.645,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10007198-PISTOL-DE-AER.html?text=10007198,81640,PISTOL SCURT PT SUFLAT,,PISTOL SCURT PT SUFLAT,,,,,PISTOL SCURT PT SUFLAT,PISTOL SCURT PT SUFLAT,,,01.01.2026,,PISTOL SCURT PT SUFLAT,14.386499999999998,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10010661-LANTERNA-LED-5W-280LM-ZOOM.html?text=10010661,88555,LANTERNA LED 5W 280LM,,LANTERNA LED 5W 280LM,,,,,LANTERNA LED 5W 280LM,LANTERNA LED 5W 280LM,,,01.01.2026,,LANTERNA LED 5W 280LM,28.922499999999996,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10005985-GALEATA-ZINCATA-12L.html?text=10005985,89563,GALEATA ZINCATA 12L,,GALEATA ZINCATA 12L,,,,,GALEATA ZINCATA 12L,GALEATA ZINCATA 12L,,,01.01.2026,,GALEATA ZINCATA 12L,33.430499999999995,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10010209-DECABLATOR-180MM-VDE.html?srsltid=AfmBOorYoZhANaOc88tzT0zNb_HjcH_xUyUiBAxHVXRYNuq9QcJQqXs8,YT-21210,CUTIT ELECTRICIAN VDE,R100483458,CUTIT ELECTRICIAN VDE,,,,,CUTIT ELECTRICIAN VDE,CUTIT ELECTRICIAN VDE,,,01.01.2026,,CUTIT ELECTRICIAN VDE,35.38549999999999,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10006013-CHEIE-COMBINATA-34MM.html?text=10006013,YT-00760,CHEIE COMBINATA 34 MM,R100483915,CHEIE COMBINATA 34 MM,,,,,CHEIE COMBINATA 34 MM,CHEIE COMBINATA 34 MM,,,01.01.2026,,CHEIE COMBINATA 34 MM,48.26,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10010739-CHEIE-UNIVERSALA-CU-CARLIG-50-80MM.html?text=10010739,YT-01672,CHEIE UNIVERSALA CU CARLIG 50-80 MM,,CHEIE UNIVERSALA CU CARLIG 50-80 MM,,,,,CHEIE UNIVERSALA CU CARLIG 50-80 MM,CHEIE UNIVERSALA CU CARLIG 50-80 MM,,,01.01.2026,,CHEIE UNIVERSALA CU CARLIG 50-80 MM,80.23549999999999,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10010736-CHEIE-UNIVERSALA-CARLIG-CU-STIFT-35-50MM.html?text=10010736,YT-01676,CHEIE CU CARLIG PIVOTANTA 35-50MM,,CHEIE CU CARLIG PIVOTANTA 35-50MM,,,,,CHEIE CU CARLIG PIVOTANTA 35-50MM,CHEIE CU CARLIG PIVOTANTA 35-50MM,,,01.01.2026,,CHEIE CU CARLIG PIVOTANTA 35-50MM,63.744499999999995,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10000447-CHEIE-COMBINATA-CU-CLICHET-10MM.html?text=10000447,YT-0191,CHEIE COMBINATA CU CLICHET 10MM,,CHEIE COMBINATA CU CLICHET 10MM,,,,,CHEIE COMBINATA CU CLICHET 10MM,CHEIE COMBINATA CU CLICHET 10MM,,,01.01.2026,,CHEIE COMBINATA CU CLICHET 10MM,11.7875,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10000542-CHEIE-COMBINATA-CU-CLICHET-13MM.html?text=10000542,YT-0194,CHEIE COMBINATA CU CLICHET 13MM,,CHEIE COMBINATA CU CLICHET 13MM,,,,,CHEIE COMBINATA CU CLICHET 13MM,CHEIE COMBINATA CU CLICHET 13MM,,,01.01.2026,,CHEIE COMBINATA CU CLICHET 13MM,14.581999999999999,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10001062-SET-CHEI-COMBINATE-CU-CLICHET-10-19MM-7-BUC.html?text=10001062,YT-0208,SET CHEI COMBINATE CU CLICHET 10-19 MM 7 BUC,,SET CHEI COMBINATE CU CLICHET 10-19 MM 7 BUC,,,,,SET CHEI COMBINATE CU CLICHET 10-19 MM 7 BUC,SET CHEI COMBINATE CU CLICHET 10-19 MM 7 BUC,,,01.01.2026,,SET CHEI COMBINATE CU CLICHET 10-19 MM 7 BUC,102.38449999999999,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10003017-ANTRENOR-CLICHET-TELESCOPIC-1-2.html?text=10003017,YT-0299,ANTRENOR CU CLICHET 1/2,,ANTRENOR CU CLICHET 1/2,,,,,ANTRENOR CLICHET TELESCOPIC 1/2'',ANTRENOR CLICHET TELESCOPIC 1/2'',,,01.01.2026,,ANTRENOR CLICHET TELESCOPIC 1/2'',62.145999999999994,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://toya24.ro/product-rum-10004295-CHEIE-FIXA-10X13MM.html?text=10004295,YT-0332,CHEIE FIXA 10X13 MM,,CHEIE FIXA 10X13 MM,,,,,CHEIE FIXA 10X13 MM,CHEIE FIXA 10X13 MM,,,01.01.2026,,CHEIE FIXA 10X13 MM,5.704,RON,,,,,,,,,,,,PCE,,1,7-14zile,,,,,
